1763951897778,hunter,102,Van,radio,0,0,INIT,Bob
1764116896391,hunter,102,Van,temp,0,0,INIT,Ocean
1764116902392,hunter,102,,infrared,1,0,SWAP,temp->infrared
1764116902397,hunter,102,Van,infrared,1,0,MOVE,Hallway
1764116902503,hunter,102,Hallway,infrared,2,0,MOVE,Master Bedroom
1764116902607,hunter,102,Master Bedroom,infrared,3,0,MOVE,Hallway
1764116902714,hunter,102,Hallway,infrared,4,0,MOVE,Kitchen
1764116902820,hunter,102,Kitchen,infrared,5,0,MOVE,Living Room
1764116902923,hunter,102,Living Room,infrared,6,0,MOVE,Kitchen
1764116903027,hunter,102,Kitchen,infrared,7,0,MOVE,Hallway
1764116903135,hunter,102,Hallway,infrared,8,0,MOVE,Bathroom
1764116903240,hunter,102,Bathroom,infrared,9,0,MOVE,Hallway
1764116903352,hunter,102,Hallway,infrared,10,0,MOVE,Master Bedroom
1764116903461,hunter,102,Master Bedroom,infrared,11,0,MOVE,Hallway
1764116903570,hunter,102,Hallway,infrared,0,1,MOVE,Bathroom
1764116903674,hunter,102,Bathroom,infrared,1,1,MOVE,Hallway
1764116903777,hunter,102,Hallway,infrared,0,2,MOVE,Bathroom
1764116903885,hunter,102,Bathroom,infrared,1,2,MOVE,Hallway
1764116903990,hunter,102,Hallway,infrared,0,3,MOVE,Van
1764116904100,hunter,102,Van,infrared,1,3,RETURN_COMPLETE,complete
1764116904103,hunter,102,,writing,1,3,SWAP,infrared->writing
1764116904106,hunter,102,Van,writing,1,3,MOVE,Hallway
1764116904212,hunter,102,Hallway,writing,0,4,MOVE,Master Bedroom
1764116904319,hunter,102,Master Bedroom,writing,1,4,MOVE,Hallway
1764116904425,hunter,102,Hallway,writing,0,5,MOVE,Kitchen
1764116904534,hunter,102,Kitchen,writing,1,5,MOVE,Garage
1764116904640,hunter,102,Garage,writing,2,5,MOVE,Utility Room
1764116904754,hunter,102,Utility Room,writing,3,5,MOVE,Garage
1764116904859,hunter,102,Garage,writing,4,5,MOVE,Utility Room
1764116904963,hunter,102,Utility Room,writing,5,5,MOVE,Garage
1764116905068,hunter,102,Garage,writing,6,5,MOVE,Utility Room
1764116905173,hunter,102,Utility Room,writing,7,5,MOVE,Garage
1764116905277,hunter,102,Garage,writing,8,5,MOVE,Utility Room
1764116905381,hunter,102,Utility Room,writing,9,5,MOVE,Garage
1764116905485,hunter,102,Garage,writing,10,5,MOVE,Utility Room
1764116905589,hunter,102,Utility Room,writing,11,5,MOVE,Garage
1764116905708,hunter,102,Garage,writing,12,5,MOVE,Utility Room
1764116905812,hunter,102,Utility Room,writing,13,5,MOVE,Garage
1764116905916,hunter,102,Garage,writing,14,5,MOVE,Kitchen
1764116906030,hunter,102,Kitchen,writing,15,5,EXIT,bored
1764116935521,hunter,102,Van,orbs,0,0,INIT,dont
1764116938136,hunter,102,,infrared,1,0,SWAP,orbs->infrared
1764116938139,hunter,102,Van,infrared,1,0,MOVE,Hallway
1764116938242,hunter,102,Hallway,infrared,2,0,MOVE,Master Bedroom
1764116938349,hunter,102,Master Bedroom,infrared,3,0,MOVE,Hallway
1764116938454,hunter,102,Hallway,infrared,4,0,MOVE,Master Bedroom
1764116938558,hunter,102,Master Bedroom,infrared,5,0,MOVE,Hallway
1764116938665,hunter,102,Hallway,infrared,6,0,MOVE,Basement
1764116938772,hunter,102,Basement,infrared,7,0,MOVE,Basement Hallway
1764116938877,hunter,102,Basement Hallway,infrared,8,0,MOVE,Left Storage Room
1764116938984,hunter,102,Left Storage Room,infrared,9,0,MOVE,Basement Hallway
1764116939091,hunter,102,Basement Hallway,infrared,10,0,MOVE,Right Storage Room
